image,class_name,class_id,confidence,x1,y1,x2,y2,center_x,center_y,area
street,person,0,0.8359676599502563,114.869873046875,197.41204833984375,1114.46875,711.8893432617188,614.6693115234375,454.65069580078125,514270.92622178793
street,person,0,0.8189558982849121,748.46142578125,41.855224609375,1143.07568359375,713.02392578125,945.7685546875,377.4395751953125,264852.73887991905
street,tie,27,0.29097360372543335,439.47467041015625,437.0735168457031,524.3458862304688,709.15966796875,481.9102783203125,573.1165924072266,23092.282453682274
bus,bus,5,0.8734484910964966,22.871320724487305,231.2772674560547,805.0025634765625,756.8403930664062,413.9369421005249,494.05883026123047,411059.34057828924
bus,person,0,0.8656913638114929,48.55049133300781,398.55218505859375,245.34556579589844,902.7026977539062,146.94802856445312,650.62744140625,99214.33768637851
bus,person,0,0.8528353571891785,669.472900390625,392.1860656738281,809.7201538085938,877.0354614257812,739.5965270996094,634.6107635498047,67998.79607557319
bus,person,0,0.8252246975898743,221.5172882080078,405.79864501953125,344.9706115722656,857.53662109375,283.2439498901367,631.6676330566406,55768.554436205886
bus,person,0,0.26111242175102234,0.0,550.5250244140625,63.00693130493164,873.4429321289062,31.50346565246582,711.9839782714844,20346.066428521415
bus,stop sign,11,0.25506994128227234,0.05817067623138428,254.4593963623047,32.557411193847656,324.8741455078125,16.30779093503952,289.6667709350586,2288.4258684674733
people,person,0,0.6760261654853821,259.0363464355469,142.63856506347656,404.73199462890625,475.8296203613281,331.88417053222656,309.23409271240234,48544.48677384993
people,person,0,0.6191670894622803,309.8060607910156,143.41262817382812,500.85260009765625,478.6602783203125,405.32933044433594,311.0364532470703,64047.90337116923
people,person,0,0.5901916027069092,424.8258972167969,127.48607635498047,565.6744384765625,472.0461730957031,495.2501678466797,299.7661247253418,48530.78700225451
traffic,car,2,0.8641325235366821,732.6732788085938,375.85870361328125,799.6304931640625,438.30987548828125,766.1518859863281,407.08428955078125,4181.556501984596
traffic,car,2,0.7744759917259216,648.232177734375,362.37274169921875,738.8880004882812,421.50604248046875,693.5600891113281,391.93939208984375,5360.778034478426
traffic,car,2,0.7743988633155823,432.59912109375,366.374267578125,465.730224609375,391.513427734375,449.1646728515625,378.94384765625,832.8881174325943
traffic,car,2,0.7240733504295349,607.9315795898438,359.8576354980469,664.681640625,412.00445556640625,636.3066101074219,385.93104553222656,2959.3352216687053
traffic,car,2,0.6886909008026123,377.3646545410156,365.7406005859375,411.378173828125,390.75384521484375,394.3714141845703,378.2472229003906,850.7884786184877
traffic,traffic light,9,0.6047402024269104,183.87130737304688,258.97607421875,197.9297637939453,287.083740234375,190.9005355834961,273.0299072265625,395.1503977738321
traffic,traffic light,9,0.5471235513687134,519.705322265625,267.6103515625,530.5970458984375,293.90972900390625,525.1511840820312,280.7600402832031,286.4455508068204
traffic,person,0,0.5415014028549194,53.37472915649414,360.9407958984375,74.3319091796875,412.0454406738281,63.85331916809082,386.4931182861328,1071.0092405792093
traffic,car,2,0.5239574909210205,291.4894104003906,362.6379699707031,327.87957763671875,393.8094787597656,309.6844940185547,378.2237243652344,1134.3364178426564
traffic,car,2,0.47980403900146484,415.7572021484375,364.7264099121094,433.67303466796875,379.3864440917969,424.7151184082031,372.0564270019531,262.64671709388494
traffic,traffic light,9,0.4602360725402832,518.8048706054688,266.80224609375,531.0665283203125,301.5343017578125,524.9356994628906,284.16827392578125,425.8725782856345
traffic,car,2,0.45450666546821594,540.246826171875,371.40313720703125,572.7161254882812,393.998046875,556.4814758300781,382.7005920410156,733.6408850364387
traffic,person,0,0.44869211316108704,74.68730926513672,354.855712890625,92.55210876464844,397.2037353515625,83.61970901489258,376.02972412109375,756.5389304654673
traffic,car,2,0.407670259475708,334.43695068359375,365.33392333984375,357.2882080078125,388.18536376953125,345.8625793457031,376.7596435546875,522.184145487845
traffic,person,0,0.3911793529987335,262.12750244140625,369.2298889160156,276.31976318359375,395.2261962890625,269.2236328125,382.22804260253906,368.9463725723326
traffic,person,0,0.3845210373401642,3.598313808441162,365.6207275390625,21.414447784423828,416.5946044921875,12.506380796432495,391.107666015625,908.1574210721301
traffic,traffic light,9,0.355114609003067,309.9660949707031,263.864013671875,323.4498291015625,288.3848876953125,316.7079620361328,276.12445068359375,330.63294598832726
traffic,traffic light,9,0.3504163920879364,208.86737060546875,284.72454833984375,217.8453369140625,304.1889343261719,213.35635375976562,294.4567413330078,174.75060160271823
traffic,person,0,0.34829047322273254,110.53157043457031,357.36279296875,122.54822540283203,409.12091064453125,116.53989791870117,383.2418518066406,621.9594419165514
traffic,person,0,0.3398403525352478,22.106494903564453,358.230712890625,44.62554168701172,425.0970153808594,33.366018295288086,391.6638641357422,1505.7653940137243
traffic,person,0,0.2719920575618744,351.1859130859375,364.1070556640625,371.95648193359375,399.9986267089844,361.5711975097656,382.05284118652344,745.4883474390954
traffic,car,2,0.26434335112571716,503.2125244140625,366.1307373046875,529.3945922851562,389.9307861328125,516.3035583496094,378.03076171875,623.134493753314
traffic,person,0,0.2613489627838135,193.16897583007812,362.064208984375,205.11349487304688,395.49774169921875,199.1412353515625,378.7809753417969,399.34746818616986
traffic,person,0,0.25415554642677307,750.9114990234375,360.48455810546875,764.3270263671875,377.3289489746094,757.6192626953125,368.90675354003906,225.97638629376888
